Penalizacion,Alpha,Gamma,Exito_Final,Pasos_Promedio,Episodio_Convergencia,Estabilidad_Std
False,0.001,0.85,0.03,30.44195,1918,0.17058722109231983
False,0.001,0.9,0.06,28.38255,549,0.23748684174075832
False,0.001,0.95,0.04,31.06525,1181,0.19595917942265428
False,0.001,0.98,0.02,24.3904,263,0.13999999999999999
False,0.001,0.99,0.02,26.6366,1367,0.13999999999999999
False,0.01,0.85,0.47,39.65375,470,0.49909918853871116
False,0.01,0.9,0.36,40.328,324,0.48
False,0.01,0.95,0.4,35.13985,1050,0.4898979485566356
False,0.01,0.98,0.42,41.07555,178,0.49355850717012273
False,0.01,0.99,0.48,44.81525,35,0.4995998398718718
False,0.1,0.85,0.38,40.82395,229,0.48538644398046393
False,0.1,0.9,0.3,43.1797,1284,0.45825756949558394
False,0.1,0.95,0.38,46.23945,596,0.485386443980464
False,0.1,0.98,0.64,48.5099,5411,0.48
False,0.1,0.99,0.59,50.93645,2861,0.4918333050943175
False,0.5,0.85,0.25,38.8952,71,0.4330127018922193
False,0.5,0.9,0.22,41.1883,578,0.41424630354415964
False,0.5,0.95,0.36,44.22645,68,0.48
False,0.5,0.98,0.3,47.0234,81,0.45825756949558394
False,0.5,0.99,0.0,52.6613,4021,0.0
False,0.9,0.85,0.25,39.2424,107,0.4330127018922193
False,0.9,0.9,0.33,40.77005,785,0.47021271782034985
False,0.9,0.95,0.22,41.68415,194,0.41424630354415964
False,0.9,0.98,0.3,43.2096,1200,0.45825756949558394
False,0.9,0.99,0.18,44.22365,1299,0.38418745424597095
True,0.001,0.85,0.32,53.55845,257,0.46647615158762396
True,0.001,0.9,0.27,53.8756,32,0.4439594576084623
True,0.001,0.95,0.24,52.64995,1444,0.4270831300812525
True,0.001,0.98,0.21,50.34445,505,0.40730823708832603
True,0.001,0.99,0.34,51.638,1144,0.4737087712930805
True,0.01,0.85,0.61,49.7657,989,0.4877499359302879
True,0.01,0.9,0.54,50.16905,1163,0.49839743177508444
True,0.01,0.95,0.62,50.6331,272,0.48538644398046393
True,0.01,0.98,0.55,52.32155,725,0.4974937185533099
True,0.01,0.99,0.58,50.9351,379,0.49355850717012273
True,0.1,0.85,0.5,51.60295,237,0.5
True,0.1,0.9,0.6,51.3825,388,0.48989794855663565
True,0.1,0.95,0.61,51.51005,379,0.4877499359302879
True,0.1,0.98,0.53,51.80515,1649,0.4990991885387111
True,0.1,0.99,0.5,53.25115,98,0.5
True,0.5,0.85,0.32,51.33025,294,0.46647615158762396
True,0.5,0.9,0.32,50.11675,256,0.46647615158762396
True,0.5,0.95,0.38,49.76705,106,0.48538644398046393
True,0.5,0.98,0.29,50.0545,8,0.4537620521815371
True,0.5,0.99,0.38,51.08565,91,0.48538644398046393
True,0.9,0.85,0.24,45.95245,1776,0.42708313008125254
True,0.9,0.9,0.31,45.69735,1275,0.462493243193887
True,0.9,0.95,0.3,44.82955,363,0.45825756949558394
True,0.9,0.98,0.24,44.74275,80,0.42708313008125254
True,0.9,0.99,0.26,45.21535,400,0.4386342439892262
